Entry	Reviewed	Entry Name	Gene Names	Annotation
A2RUB6	reviewed	CCD66_HUMAN	CCDC66	5.0
A2RUC4	reviewed	TYW5_HUMAN	TYW5 C2orf60	5.0
A2RUH7	reviewed	MBPHL_HUMAN	MYBPHL	5.0
A2VDJ0	reviewed	T131L_HUMAN	TMEM131L KIAA0922	5.0
A2VEC9	reviewed	SSPO_HUMAN	SSPOP KIAA2036 SSPO	5.0
A3KMH1	reviewed	VWA8_HUMAN	VWA8 KIAA0564	5.0
A4D0S4	reviewed	LAMB4_HUMAN	LAMB4	5.0
A4D126	reviewed	ISPD_HUMAN	CRPPA ISPD	5.0
A4D161	reviewed	F221A_HUMAN	FAM221A C7orf46	5.0
A4D1B5	reviewed	GSAP_HUMAN	GSAP PION	5.0
A4D1E9	reviewed	GTPBA_HUMAN	GTPBP10 OBGH2 UG0751c10	5.0
A4D1P6	reviewed	WDR91_HUMAN	WDR91 HSPC049	5.0
A4D1T9	reviewed	PRS37_HUMAN	PRSS37 TRYX2	5.0
A4D256	reviewed	CC14C_HUMAN	CDC14C CDC14B2 CDC14Bretro	5.0
A4D2B0	reviewed	MBLC1_HUMAN	MBLAC1	5.0
A4D2B8	reviewed	PM2P1_HUMAN	PMS2P1 PMS2L1 PMS2L13 PMS2L6 PMS2L8 PMS3 PMS8 PMSR2	5.0
A4GXA9	reviewed	EME2_HUMAN	EME2	5.0
A4UGR9	reviewed	XIRP2_HUMAN	XIRP2 CMYA3	5.0
A5D8T8	reviewed	CL18A_HUMAN	CLEC18A MRLP2	5.0
A5D8V6	reviewed	VP37C_HUMAN	VPS37C PML39	5.0
A5D8V7	reviewed	ODAD3_HUMAN	ODAD3 CCDC151	5.0
A5D8W1	reviewed	CFA69_HUMAN	CFAP69 C7orf63	5.0
A5LHX3	reviewed	PSB11_HUMAN	PSMB11	5.0
A5PKW4	reviewed	PSD1_HUMAN	PSD EFA6 EFA6A KIAA2011 PSD1 TYL	5.0
A5PLL7	reviewed	PDES1_HUMAN	PEDS1 KUA PDES TMEM189	5.0
A5PLN9	reviewed	TPC13_HUMAN	TRAPPC13 C5orf44	5.0
A5X5Y0	reviewed	5HT3E_HUMAN	HTR3E	5.0
A5YKK6	reviewed	CNOT1_HUMAN	CNOT1 CDC39 KIAA1007 NOT1 AD-005	5.0
A5YM72	reviewed	CRNS1_HUMAN	CARNS1 ATPGD1 KIAA1394	5.0
A6BM72	reviewed	MEG11_HUMAN	MEGF11 KIAA1781 UNQ1949/PRO4432	5.0
A6H8Y1	reviewed	BDP1_HUMAN	BDP1 KIAA1241 KIAA1689 TFNR	5.0
A6H8Z2	reviewed	F221B_HUMAN	FAM221B C9orf128	5.0
A6NC98	reviewed	CC88B_HUMAN	CCDC88B BRLZ	5.0
A6NCS4	reviewed	NKX26_HUMAN	NKX2-6 NKX2F	5.0
A6ND01	reviewed	JUNO_HUMAN	IZUMO1R FOLR4 JUNO	5.0
A6ND36	reviewed	FA83G_HUMAN	FAM83G PAWS1	5.0
A6NDB9	reviewed	PALM3_HUMAN	PALM3	5.0
A6NDE4	reviewed	RBY1B_HUMAN	RBMY1B	5.0
A6NDG6	reviewed	PGP_HUMAN	PGP	5.0
A6NDV4	reviewed	TMM8B_HUMAN	TMEM8B C9orf127 NGX6	5.0
A6NED2	reviewed	RCCD1_HUMAN	RCCD1	5.0
A6NEM1	reviewed	GG6L9_HUMAN	GOLGA6L9 GOLGA6L20	5.0
A6NFA1	reviewed	TIKI2_HUMAN	TRABD2B HKAT TIKI2	5.0
A6NFQ2	reviewed	TCAF2_HUMAN	TCAF2 FAM115C FAM139A	5.0
A6NFX1	reviewed	MFS2B_HUMAN	MFSD2B	5.0
A6NFY7	reviewed	SDHF1_HUMAN	SDHAF1 LYRM8	5.0
A6NGG8	reviewed	PCARE_HUMAN	PCARE C2orf71	5.0
A6NGQ2	reviewed	OOEP_HUMAN	OOEP C6orf156 KHDC2 OEP19	5.0
A6NGU5	reviewed	GGT3_HUMAN	GGT3P GGT3	5.0
A6NHR9	reviewed	SMHD1_HUMAN	SMCHD1 KIAA0650	5.0
A6NI15	reviewed	MSGN1_HUMAN	MSGN1	5.0
A6NI61	reviewed	MYMK_HUMAN	MYMK TMEM226 TMEM8C	5.0
A6NI73	reviewed	LIRA5_HUMAN	LILRA5 ILT11 LILRB7 LIR9	5.0
A6NIH7	reviewed	U119B_HUMAN	UNC119B	5.0
A6NIX2	reviewed	WTIP_HUMAN	WTIP	5.0
A6NJ46	reviewed	NKX63_HUMAN	NKX6-3	5.0
A6NJ78	reviewed	MET15_HUMAN	METTL15 METT5D1	5.0
A6NK06	reviewed	IRG1_HUMAN	ACOD1 IRG1	5.0
A6NK58	reviewed	LIPT2_HUMAN	LIPT2	5.0
A6NK89	reviewed	RASFA_HUMAN	RASSF10	5.0
A6NKB5	reviewed	PCX2_HUMAN	PCNX2 KIAA0435 PCNXL2	5.0
A6NL88	reviewed	SHSA7_HUMAN	SHISA7	5.0
A6NMY6	reviewed	AXA2L_HUMAN	ANXA2P2 ANX2L2 ANX2P2 LPC2B	5.0
A6NMZ7	reviewed	CO6A6_HUMAN	COL6A6	5.0
A6NNB3	reviewed	IFM5_HUMAN	IFITM5	5.0
A6NNM8	reviewed	TTL13_HUMAN	TTLL13 TTLL13P	5.0
A6NNY8	reviewed	UBP27_HUMAN	USP27X USP22L USP27	5.0
A6NNZ2	reviewed	TBB8B_HUMAN	TUBB8B	5.0
A6PVC2	reviewed	TTLL8_HUMAN	TTLL8	5.0
A7E2V4	reviewed	ZSWM8_HUMAN	ZSWIM8 KIAA0913	5.0
A7E2Y1	reviewed	MYH7B_HUMAN	MYH7B KIAA1512	5.0
A7KAX9	reviewed	RHG32_HUMAN	ARHGAP32 GRIT KIAA0712 RICS	5.0
A7MCY6	reviewed	TBKB1_HUMAN	TBKBP1 KIAA0775 SINTBAD	5.0
A7MD48	reviewed	SRRM4_HUMAN	SRRM4 KIAA1853	5.0
A7XYQ1	reviewed	SOBP_HUMAN	SOBP JXC1	5.0
A8CG34	reviewed	P121C_HUMAN	POM121C	5.0
A8K0Z3	reviewed	WASH1_HUMAN	WASHC1 FAM39E WASH1	5.0
A8K2U0	reviewed	A2ML1_HUMAN	A2ML1 CPAMD9	5.0
A8K4G0	reviewed	CLM7_HUMAN	CD300LB CD300B CLM7 CMRF35A2 IREM3 LMIR5 TREM5 UNQ2530/PRO6029	5.0
A8K7I4	reviewed	CLCA1_HUMAN	CLCA1 CACC1	5.0
A8K830	reviewed	OCAT2_HUMAN	POU2AF3 C11orf93 CASC13 COLCA2	5.0
A8K8P3	reviewed	SFI1_HUMAN	SFI1 KIAA0542	5.0
A8K8V0	reviewed	ZN785_HUMAN	ZNF785	5.0
A8MPY1	reviewed	GBRR3_HUMAN	GABRR3	5.0
A8MQ03	reviewed	CRTP1_HUMAN	CYSRT1 C9orf169	5.0
A8MQ27	reviewed	NEU1B_HUMAN	NEURL1B NEURL3	5.0
A8MT69	reviewed	CENPX_HUMAN	CENPX FAAP10 MHF2 STRA13	5.0
A8MTA8	reviewed	F166B_HUMAN	FAM166B	5.0
A8MTJ3	reviewed	GNAT3_HUMAN	GNAT3	5.0
A8MTQ0	reviewed	NOTO_HUMAN	NOTO	5.0
A8MTZ0	reviewed	BBIP1_HUMAN	BBIP1 BBIP10 NCRNA00081	5.0
A8MU46	reviewed	SMTL1_HUMAN	SMTNL1	5.0
A8MUP2	reviewed	CSKMT_HUMAN	CSKMT METTL12	5.0
A8MV65	reviewed	VGLL3_HUMAN	VGLL3	5.0
A8MVW5	reviewed	HECA2_HUMAN	HEPACAM2 MIKI UNQ305/PRO346	5.0
A8MW95	reviewed	BECN2_HUMAN	BECN2 BECN1L1 BECN1P1	5.0
A8MW99	reviewed	MEI4_HUMAN	MEI4	5.0
A8MWX3	reviewed	WASH4_HUMAN	WASH4P FAM39CP	5.0
A8MXD5	reviewed	GRCR1_HUMAN	GRXCR1 DFNB25	5.0
A8MXV4	reviewed	NUD19_HUMAN	NUDT19	5.0
A8MYU2	reviewed	KCNU1_HUMAN	KCNU1 KCNMA3 KCNMC1 SLO3	5.0
A8MZ59	reviewed	LEUTX_HUMAN	LEUTX	5.0
A8TX70	reviewed	CO6A5_HUMAN	COL6A5 COL29A1 VWA4	5.0
A9UHW6	reviewed	MI4GD_HUMAN	MIF4GD SLIP1	5.0
A9YTQ3	reviewed	AHRR_HUMAN	AHRR BHLHE77 KIAA1234	5.0
B0I1T2	reviewed	MYO1G_HUMAN	MYO1G HA2	5.0
B0L3A2	reviewed	DEAR_HUMAN	FBXW7-AS1 DEAR DEspR	5.0
B0YJ81	reviewed	HACD1_HUMAN	HACD1 PTPLA	5.0
B1AK53	reviewed	ESPN_HUMAN	ESPN DFNB36 LP2654	5.0
B1AL88	reviewed	NALF1_HUMAN	NALF1 FAM155A NLF-1	5.0
B2RTY4	reviewed	MYO9A_HUMAN	MYO9A MYR7	5.0
B2RUY7	reviewed	VWC2L_HUMAN	VWC2L	5.0
B2RUZ4	reviewed	SMIM1_HUMAN	SMIM1	5.0
B2RXF5	reviewed	ZBT42_HUMAN	ZBTB42	5.0
B2RXH2	reviewed	KDM4E_HUMAN	KDM4E KDM4DL	5.0
B3KU38	reviewed	IQIP1_HUMAN	IQCJ-SCHIP1	5.0
B6A8C7	reviewed	TARM1_HUMAN	TARM1	5.0
B7U540	reviewed	KCJ18_HUMAN	KCNJ18	5.0
B7Z8K6	reviewed	TRDC_HUMAN	TRDC	5.0
B7ZAQ6	reviewed	GPHRA_HUMAN	GPR89A GPHRA GPR89 SH120 CGI-13 UNQ192/PRO218	5.0
C4AMC7	reviewed	WASH3_HUMAN	WASH3P FAM39DP	5.0
C9JE40	reviewed	PATL2_HUMAN	PATL2	5.0
C9JLW8	reviewed	MCRI1_HUMAN	MCRIP1 FAM195B GRAN2	5.0
C9JR72	reviewed	KBTBD_HUMAN	KBTBD13	5.0
C9JRZ8	reviewed	AK1BF_HUMAN	AKR1B15	5.0
D3W0D1	reviewed	KLRF2_HUMAN	KLRF2	5.0
D6RGH6	reviewed	MCIN_HUMAN	MCIDAS IDAS MCI MCIN	5.0
E0CX11	reviewed	STMP1_HUMAN	STMP1 C7orf73	5.0
G2XKQ0	reviewed	SUMO5_HUMAN	SUMO1P1 SUMO5 UBL2 UBL6	5.0
H0YL14	reviewed	TM250_HUMAN	TMEM250 C9orf69	5.0
K7EJ46	reviewed	SIM22_HUMAN	SMIM22 CASIMO1	5.0
K9M1U5	reviewed	IFNL4_HUMAN	IFNL4	5.0
M0R2J8	reviewed	DCDC1_HUMAN	DCDC1 DCDC5 KIAA1493	5.0
O00115	reviewed	DNS2A_HUMAN	DNASE2 DNASE2A DNL2	5.0
O00116	reviewed	ADAS_HUMAN	AGPS AAG5	5.0
O00124	reviewed	UBXN8_HUMAN	UBXN8 D8S2298E REP8 UBXD6	5.0
O00139	reviewed	KIF2A_HUMAN	KIF2A KIF2 KNS2	5.0
O00141	reviewed	SGK1_HUMAN	SGK1 SGK	5.0
O00142	reviewed	KITM_HUMAN	TK2	5.0
O00144	reviewed	FZD9_HUMAN	FZD9 FZD3	5.0
O00148	reviewed	DX39A_HUMAN	DDX39A DDX39	5.0
O00151	reviewed	PDLI1_HUMAN	PDLIM1 CLIM1 CLP36	5.0
O00154	reviewed	BACH_HUMAN	ACOT7 BACH	5.0
O00155	reviewed	GPR25_HUMAN	GPR25	5.0
O00159	reviewed	MYO1C_HUMAN	MYO1C	5.0
O00160	reviewed	MYO1F_HUMAN	MYO1F	5.0
O00161	reviewed	SNP23_HUMAN	SNAP23	5.0
O00165	reviewed	HAX1_HUMAN	HAX1 HS1BP1	5.0
O00167	reviewed	EYA2_HUMAN	EYA2 EAB1	5.0
O00168	reviewed	PLM_HUMAN	FXYD1 PLM	5.0
O00170	reviewed	AIP_HUMAN	AIP XAP2	5.0
O00175	reviewed	CCL24_HUMAN	CCL24 MPIF2 SCYA24	5.0
O00180	reviewed	KCNK1_HUMAN	KCNK1 HOHO1 KCNO1 TWIK1	5.0
O00182	reviewed	LEG9_HUMAN	LGALS9	5.0
O00186	reviewed	STXB3_HUMAN	STXBP3	5.0
O00187	reviewed	MASP2_HUMAN	MASP2	5.0
O00189	reviewed	AP4M1_HUMAN	AP4M1 MUARP2	5.0
O00192	reviewed	ARVC_HUMAN	ARVCF	5.0
O00194	reviewed	RB27B_HUMAN	RAB27B	5.0
O00198	reviewed	HRK_HUMAN	HRK BID3	5.0
O00203	reviewed	AP3B1_HUMAN	AP3B1 ADTB3A	5.0
O00204	reviewed	ST2B1_HUMAN	SULT2B1 HSST2	5.0
O00206	reviewed	TLR4_HUMAN	TLR4	5.0
O00212	reviewed	RHOD_HUMAN	RHOD ARHD	5.0
O00213	reviewed	APBB1_HUMAN	APBB1 FE65 RIR	5.0
O00214	reviewed	LEG8_HUMAN	LGALS8	5.0
O00217	reviewed	NDUS8_HUMAN	NDUFS8	5.0
O00219	reviewed	HYAS3_HUMAN	HAS3	5.0
O00220	reviewed	TR10A_HUMAN	TNFRSF10A APO2 DR4 TRAILR1	5.0
O00221	reviewed	IKBE_HUMAN	NFKBIE IKBE	5.0
O00222	reviewed	GRM8_HUMAN	GRM8 GPRC1H MGLUR8	5.0
O00230	reviewed	CORT_HUMAN	CORT UNQ307/PRO350	5.0
O00231	reviewed	PSD11_HUMAN	PSMD11	5.0
O00232	reviewed	PSD12_HUMAN	PSMD12	5.0
O00233	reviewed	PSMD9_HUMAN	PSMD9	5.0
O00237	reviewed	RN103_HUMAN	RNF103 ZFP103	5.0
O00238	reviewed	BMR1B_HUMAN	BMPR1B	5.0
O00241	reviewed	SIRB1_HUMAN	SIRPB1	5.0
O00244	reviewed	ATOX1_HUMAN	ATOX1 HAH1	5.0
O00253	reviewed	AGRP_HUMAN	AGRP AGRT ART	5.0
O00254	reviewed	PAR3_HUMAN	F2RL2 PAR3	5.0
O00255	reviewed	MEN1_HUMAN	MEN1 SCG2	5.0
O00257	reviewed	CBX4_HUMAN	CBX4	5.0
O00258	reviewed	GET1_HUMAN	GET1 CHD5 WRB	5.0
O00264	reviewed	PGRC1_HUMAN	PGRMC1 HPR6.6 PGRMC	5.0
O00267	reviewed	SPT5H_HUMAN	SUPT5H SPT5 SPT5H	5.0
O00268	reviewed	TAF4_HUMAN	TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135	5.0
O00270	reviewed	GPR31_HUMAN	GPR31	5.0
O00273	reviewed	DFFA_HUMAN	DFFA DFF1 DFF45 H13	5.0
O00287	reviewed	RFXAP_HUMAN	RFXAP	5.0
O00291	reviewed	HIP1_HUMAN	HIP1	5.0
O00292	reviewed	LFTY2_HUMAN	LEFTY2 EBAF LEFTA LEFTYA TGFB4 PSEC0024	5.0
O00294	reviewed	TULP1_HUMAN	TULP1 TUBL1	5.0
O00299	reviewed	CLIC1_HUMAN	CLIC1 G6 NCC27	5.0
O00300	reviewed	TR11B_HUMAN	TNFRSF11B OCIF OPG	5.0
O00303	reviewed	EIF3F_HUMAN	EIF3F EIF3S5	5.0
O00305	reviewed	CACB4_HUMAN	CACNB4 CACNLB4	5.0
O00308	reviewed	WWP2_HUMAN	WWP2	5.0
O00311	reviewed	CDC7_HUMAN	CDC7 CDC7L1	5.0
O00322	reviewed	UPK1A_HUMAN	UPK1A TSPAN21	5.0
O00327	reviewed	BMAL1_HUMAN	ARNTL BHLHE5 BMAL1 MOP3 PASD3	5.0
O00329	reviewed	PK3CD_HUMAN	PIK3CD	5.0
O00330	reviewed	ODPX_HUMAN	PDHX PDX1	5.0
O00337	reviewed	S28A1_HUMAN	SLC28A1 CNT1	5.0
O00338	reviewed	ST1C2_HUMAN	SULT1C2 SULT1C1	5.0
O00339	reviewed	MATN2_HUMAN	MATN2 UNQ193/PRO219	5.0
O00341	reviewed	EAA5_HUMAN	SLC1A7 EAAT5	5.0
O00358	reviewed	FOXE1_HUMAN	FOXE1 FKHL15 FOXE2 TITF2 TTF2	5.0
O00370	reviewed	LORF2_HUMAN		5.0
O00391	reviewed	QSOX1_HUMAN	QSOX1 QSCN6 UNQ2520/PRO6013	5.0
O00400	reviewed	ACATN_HUMAN	SLC33A1 ACATN AT1	5.0
O00401	reviewed	WASL_HUMAN	WASL	5.0
O00408	reviewed	PDE2A_HUMAN	PDE2A	5.0
O00409	reviewed	FOXN3_HUMAN	FOXN3 C14orf116 CHES1	5.0
O00410	reviewed	IPO5_HUMAN	IPO5 KPNB3 RANBP5	5.0
O00411	reviewed	RPOM_HUMAN	POLRMT	5.0
O00418	reviewed	EF2K_HUMAN	EEF2K	5.0
O00421	reviewed	CCRL2_HUMAN	CCRL2 CCR11 CCR6 CKRX CRAM HCR	5.0
O00422	reviewed	SAP18_HUMAN	SAP18 GIG38	5.0
O00423	reviewed	EMAL1_HUMAN	EML1 EMAP1 EMAPL EMAPL1	5.0
O00425	reviewed	IF2B3_HUMAN	IGF2BP3 IMP3 KOC1 VICKZ3	5.0
O00429	reviewed	DNM1L_HUMAN	DNM1L DLP1 DRP1	5.0
O00442	reviewed	RTCA_HUMAN	RTCA RPC RPC1 RTC1 RTCD1	5.0
O00443	reviewed	P3C2A_HUMAN	PIK3C2A	5.0
O00444	reviewed	PLK4_HUMAN	PLK4 SAK STK18	5.0
O00445	reviewed	SYT5_HUMAN	SYT5	5.0
O00451	reviewed	GFRA2_HUMAN	GFRA2 GDNFRB RETL2 TRNR2	5.0
O00453	reviewed	LST1_HUMAN	LST1 B144	5.0
O00459	reviewed	P85B_HUMAN	PIK3R2	5.0
O00461	reviewed	GOLI4_HUMAN	GOLIM4 GIMPC GOLPH4 GPP130	5.0
O00462	reviewed	MANBA_HUMAN	MANBA MANB1	5.0
O00463	reviewed	TRAF5_HUMAN	TRAF5 RNF84	5.0
O00468	reviewed	AGRIN_HUMAN	AGRN AGRIN	5.0
O00469	reviewed	PLOD2_HUMAN	PLOD2	5.0
O00470	reviewed	MEIS1_HUMAN	MEIS1	5.0
O00471	reviewed	EXOC5_HUMAN	EXOC5 SEC10 SEC10L1	5.0
O00472	reviewed	ELL2_HUMAN	ELL2	5.0
O00476	reviewed	NPT4_HUMAN	SLC17A3 NPT4	5.0
O00478	reviewed	BT3A3_HUMAN	BTN3A3 BTF3	5.0
O00481	reviewed	BT3A1_HUMAN	BTN3A1 BTF5	5.0
O00482	reviewed	NR5A2_HUMAN	NR5A2 B1F CPF FTF	5.0
O00483	reviewed	NDUA4_HUMAN	NDUFA4	5.0
O00487	reviewed	PSDE_HUMAN	PSMD14 POH1	5.0
O00488	reviewed	ZN593_HUMAN	ZNF593 ZT86	5.0
O00499	reviewed	BIN1_HUMAN	BIN1 AMPHL	5.0
O00501	reviewed	CLD5_HUMAN	CLDN5 AWAL TMVCF	5.0
O00505	reviewed	IMA4_HUMAN	KPNA3 QIP2	5.0
O00506	reviewed	STK25_HUMAN	STK25 SOK1 YSK1	5.0
O00507	reviewed	USP9Y_HUMAN	USP9Y DFFRY	5.0
O00512	reviewed	BCL9_HUMAN	BCL9	5.0
O00519	reviewed	FAAH1_HUMAN	FAAH FAAH1	5.0
O00522	reviewed	KRIT1_HUMAN	KRIT1 CCM1	5.0
O00526	reviewed	UPK2_HUMAN	UPK2	5.0
O00533	reviewed	NCHL1_HUMAN	CHL1 CALL	5.0
O00541	reviewed	PESC_HUMAN	PES1	5.0
O00548	reviewed	DLL1_HUMAN	DLL1 UNQ146/PRO172	5.0
O00555	reviewed	CAC1A_HUMAN	CACNA1A CACH4 CACN3 CACNL1A4	5.0
O00559	reviewed	RCAS1_HUMAN	EBAG9 RCAS1	5.0
O00560	reviewed	SDCB1_HUMAN	SDCBP MDA9 SYCL	5.0
O00562	reviewed	PITM1_HUMAN	PITPNM1 DRES9 NIR2 PITPNM	5.0
O00566	reviewed	MPP10_HUMAN	MPHOSPH10 MPP10	5.0
O00567	reviewed	NOP56_HUMAN	NOP56 NOL5A	5.0
O00571	reviewed	DDX3X_HUMAN	DDX3X DBX DDX3	5.0
O00574	reviewed	CXCR6_HUMAN	CXCR6 BONZO STRL33 TYMSTR	5.0
O00584	reviewed	RNT2_HUMAN	RNASET2 RNASE6PL	5.0
O00585	reviewed	CCL21_HUMAN	CCL21 SCYA21 UNQ784/PRO1600	5.0
O00587	reviewed	MFNG_HUMAN	MFNG	5.0
O00590	reviewed	ACKR2_HUMAN	ACKR2 CCBP2 CCR10 CMKBR9 D6	5.0
O00591	reviewed	GBRP_HUMAN	GABRP	5.0
O00592	reviewed	PODXL_HUMAN	PODXL PCLP PCLP1	5.0
O00602	reviewed	FCN1_HUMAN	FCN1 FCNM	5.0
O00622	reviewed	CCN1_HUMAN	CCN1 CYR61 GIG1 IGFBP10	5.0
O00623	reviewed	PEX12_HUMAN	PEX12 PAF3	5.0
O00625	reviewed	PIR_HUMAN	PIR	5.0
O00626	reviewed	CCL22_HUMAN	CCL22 MDC SCYA22 A-152E5.1	5.0
O00628	reviewed	PEX7_HUMAN	PEX7 PTS2R	5.0
O00629	reviewed	IMA3_HUMAN	KPNA4 QIP1	5.0
O00631	reviewed	SARCO_HUMAN	SLN	5.0
O00635	reviewed	TRI38_HUMAN	TRIM38 RNF15 RORET	5.0
O00712	reviewed	NFIB_HUMAN	NFIB	5.0
O00716	reviewed	E2F3_HUMAN	E2F3 KIAA0075	5.0
O00743	reviewed	PPP6_HUMAN	PPP6C PPP6	5.0
O00744	reviewed	WN10B_HUMAN	WNT10B WNT12	5.0
O00746	reviewed	NDKM_HUMAN	NME4 NM23D	5.0
O00748	reviewed	EST2_HUMAN	CES2 ICE	5.0
O00750	reviewed	P3C2B_HUMAN	PIK3C2B	5.0
O00754	reviewed	MA2B1_HUMAN	MAN2B1 LAMAN MANB	5.0
O00755	reviewed	WNT7A_HUMAN	WNT7A	5.0
O00757	reviewed	F16P2_HUMAN	FBP2	5.0
O00762	reviewed	UBE2C_HUMAN	UBE2C UBCH10	5.0
O00763	reviewed	ACACB_HUMAN	ACACB ACC2 ACCB	5.0
O00764	reviewed	PDXK_HUMAN	PDXK C21orf124 C21orf97 PKH PNK PRED79	5.0
O00767	reviewed	SCD_HUMAN	SCD FADS5 SCD1 SCDOS	5.0
O14490	reviewed	DLGP1_HUMAN	DLGAP1 DAP1 GKAP	5.0
O14492	reviewed	SH2B2_HUMAN	SH2B2 APS	5.0
O14493	reviewed	CLD4_HUMAN	CLDN4 CPER CPETR1 WBSCR8	5.0
O14494	reviewed	PLPP1_HUMAN	PLPP1 LPP1 PPAP2A	5.0
O14495	reviewed	PLPP3_HUMAN	PLPP3 LPP3 PPAP2B	5.0
O14497	reviewed	ARI1A_HUMAN	ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1	5.0
O14503	reviewed	BHE40_HUMAN	BHLHE40 BHLHB2 DEC1 SHARP2 STRA13	5.0
O14508	reviewed	SOCS2_HUMAN	SOCS2 CIS2 SSI2 STATI2	5.0
O14511	reviewed	NRG2_HUMAN	NRG2 NTAK	5.0
O14512	reviewed	SOCS7_HUMAN	SOCS7 NAP4 SOCS6	5.0
O14514	reviewed	AGRB1_HUMAN	ADGRB1 BAI1	5.0
O14519	reviewed	CDKA1_HUMAN	CDK2AP1 CDKAP1 DOC1	5.0
O14520	reviewed	AQP7_HUMAN	AQP7 AQP7L AQP9	5.0
O14521	reviewed	DHSD_HUMAN	SDHD SDH4	5.0
O14522	reviewed	PTPRT_HUMAN	PTPRT KIAA0283	5.0
