"id","GeneID","HGNC","GeneName","group","FullName","color","size","label"
"O96017",11200,16627,"CHEK2","CAMK","Serine/threonine-protein kinase Chk2","#ff7f0e",20,"CHEK2"
"Q9UBU7",10926,17364,"DBF4","Non-kinase","Protein DBF4 homolog A","#808080",20,"DBF4"
"Q01094",1869,3113,"E2F1","Non-kinase","Transcription factor E2F1","#808080",20,"E2F1"
"O00716",1871,3115,"E2F3","Non-kinase","Transcription factor E2F3","#808080",20,"E2F3"
"Q09472",2033,3373,"EP300","Non-kinase","Histone acetyltransferase p300","#808080",20,"EP300"
"Q14674",9700,16856,"ESPL1","Non-kinase","Separin","#808080",20,"ESPL1"
"Q9UM11",51343,24824,"FZR1","Non-kinase","Fizzy-related protein homolog","#808080",20,"FZR1"
"P49841",2932,4617,"GSK3B","CMGC","Glycogen synthase kinase-3 beta","#ffbb78",20,"GSK3B"
"Q92769",3066,4853,"HDAC2","Non-kinase","Histone deacetylase 2","#808080",20,"HDAC2"
"Q9Y6D9",8379,6762,"MAD1L1","Non-kinase","Mitotic spindle assembly checkpoint protein MAD1","#808080",20,"MAD1L1"
"Q13257",4085,6763,"MAD2L1","Non-kinase","Mitotic spindle assembly checkpoint protein MAD2A","#808080",20,"MAD2L1"
"P49736",4171,6944,"MCM2","Non-kinase","DNA replication licensing factor MCM2","#808080",20,"MCM2"
"P25205",4172,6945,"MCM3","Non-kinase","DNA replication licensing factor MCM3","#808080",20,"MCM3"
"P33991",4173,6947,"MCM4","Non-kinase","DNA replication licensing factor MCM4","#808080",20,"MCM4"
"P33992",4174,6948,"MCM5","Non-kinase","DNA replication licensing factor MCM5","#808080",20,"MCM5"
"P33993",4176,6950,"MCM7","Non-kinase","DNA replication licensing factor MCM7","#808080",20,"MCM7"
"Q00987",4193,6973,"MDM2","Non-kinase","E3 ubiquitin-protein ligase Mdm2","#808080",20,"MDM2"
"P01106",4609,7553,"MYC","Non-kinase","Myc proto-oncogene protein","#808080",20,"MYC"
"Q13415",4998,8487,"ORC1","Non-kinase","Origin recognition complex subunit 1","#808080",20,"ORC1"
"Q13416",4999,8488,"ORC2","Non-kinase","Origin recognition complex subunit 2","#808080",20,"ORC2"
"Q9Y5N6",23594,17151,"ORC6","Non-kinase","Origin recognition complex subunit 6","#808080",20,"ORC6"
"Q99640",9088,29650,"PKMYT1","Other","Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase","#aec7e8",20,"PKMYT1"
"P53350",5347,9077,"PLK1","Other","Serine/threonine-protein kinase PLK1","#aec7e8",20,"PLK1"
"P78527",5591,9413,"PRKDC","Atypical","DNA-dependent protein kinase catalytic subunit","#ff9896",20,"PRKDC"
"O95997",9232,9690,"PTTG1","Non-kinase","Securin","#808080",20,"PTTG1"
"Q9NZH5",10744,9691,"PTTG2","Non-kinase","Securin-2","#808080",20,"PTTG2"
"O60216",5885,9811,"RAD21","Non-kinase","64-kDa C-terminal product","#808080",20,"RAD21"
"P06400",5925,9884,"RB1","Non-kinase","Retinoblastoma-associated protein","#808080",20,"RB1"
"P28749",5933,9893,"RBL1","Non-kinase","Retinoblastoma-like protein 1","#808080",20,"RBL1"
"Q08999",5934,9894,"RBL2","Non-kinase","Retinoblastoma-like protein 2","#808080",20,"RBL2"
"Q13309",6502,10901,"SKP2","Non-kinase","S-phase kinase-associated protein 2","#808080",20,"SKP2"
"Q15796",4087,6768,"SMAD2","Non-kinase","Mothers against decapentaplegic homolog 2","#808080",20,"SMAD2"
"P84022",4088,6769,"SMAD3","Non-kinase","Mothers against decapentaplegic homolog 3","#808080",20,"SMAD3"
"Q13485",4089,6770,"SMAD4","Non-kinase","Mothers against decapentaplegic homolog 4","#808080",20,"SMAD4"
"Q14683",8243,11111,"SMC1A","Non-kinase","Structural maintenance of chromosomes protein 1A","#808080",20,"SMC1A"
"Q9UQE7",9126,2468,"SMC3","Non-kinase","Structural maintenance of chromosomes protein 3","#808080",20,"SMC3"
"Q14186",7027,11749,"TFDP1","Non-kinase","Transcription factor Dp-1","#808080",20,"TFDP1"
"P04637",7157,11998,"TP53","Non-kinase","Cellular tumor antigen p53","#808080",20,"TP53"
"P33981",7272,12401,"TTK","Other","Dual specificity protein kinase TTK","#aec7e8",20,"TTK"
"P30291",7465,12761,"WEE1","Other","Wee1-like protein kinase","#aec7e8",20,"WEE1"
"P0C1S8",494551,19684,"WEE2","Other","Wee1-like protein kinase 2","#aec7e8",20,"WEE2"
